recorded_at,test_name,source,lot_id,site,mineral_type,http_status,success,result_status,already_validated,params_compared,conformes,non_conformes,validated_by,message,error
2026-04-14T09:00:00,TC-01 Authentification du regulateur,historique.plan_de_test,,,,200,oui,Conforme,non,0,0,0,historique,Connexion reussie avec token Bearer et role regulator,
2026-04-14T09:07:00,TC-02 Creation d'un lot par un producteur,historique.plan_de_test,LOT_24772,KAMOA,copper,201,oui,Conforme,non,0,0,0,historique,Lot cree avec statut CREE et historique initial,
2026-04-14T09:14:00,TC-03 Restriction d'acces aux lots cote producteur,historique.plan_de_test,,,,200,oui,Conforme,non,0,0,0,historique,Le producteur ne voit que ses propres lots,
2026-04-14T09:21:00,TC-04 Auto-validation d'un lot conforme DGMR,historique.plan_de_test,LOT_24772,KAMOA,copper,200,oui,Partiellement conforme,non,6,6,0,historique,"Le lot conforme devient AUTHENTIQUE, mais la generation DGMR etait initialement aleatoire",
2026-04-14T09:28:00,TC-05 Detection d'un lot suspect,historique.plan_de_test,LOT_SUSPECT,KCC,cobalt,200,oui,Conforme,non,0,0,0,historique,Le lot divergent est marque SUSPECT,
2026-04-14T09:35:00,TC-06 Prevention de double certification,historique.plan_de_test,KAMOA-2603-142,KAMOA,copper,200,oui,Conforme,non,0,0,0,historique,Le second mint du meme lot echoue,
2026-04-14T09:42:00,TC-07 Controles d'acces onlyOwner,historique.plan_de_test,,,,200,oui,Conforme,non,0,0,0,historique,Un non-owner ne peut ni minter ni valider,
2026-04-14T09:49:00,TC-08 Mise a jour du certificat IPFS,historique.plan_de_test,KAMOA-2603-142,KAMOA,copper,200,oui,Conforme,non,0,0,0,historique,Le nouveau hash IPFS est stocke et relisible,
2026-04-14T09:56:00,TC-09 Transaction blockchain reelle sur Ganache,historique.plan_de_test,KAMOA-TEST-XXXX,KAMOA,copper,200,oui,Partiellement conforme,non,0,0,0,historique,"Transaction confirmee, mais adresse de contrat a verifier avant execution",
2026-04-14T10:03:00,TC-10 Persistance apres redemarrage du backend,historique.plan_de_test,LOT_24772,KAMOA,copper,500,non,Non conforme,non,0,0,0,historique,Le lot ne reste pas toujours accessible et auto-validable,Persistance JSON / SQL / memoire incoherente
2026-04-14T10:10:00,TC-11 Portabilite du chargement des modeles IA,historique.plan_de_test,,,,500,non,Non conforme,non,0,0,0,historique,Le backend ne charge pas les modeles via un chemin portable,Chemin absolu local des modeles IA
2026-04-14T10:17:00,TC-12 Exhaustivite de la documentation d'API,historique.plan_de_test,,,,206,non,Bloque / amelioration requise,non,0,0,0,historique,La documentation ne reflete pas encore tous les endpoints reels,Documentation incomplete
